figure,series,cohort,criterion,metric,seed,value,mean,sample_sd
01,mlp,phase5_matched,fpr_at_most_0.01,f1,1024,0.0076197614140278555,0.010917573186099407,0.007598361711927069
01,transformer_L1,phase5_matched,fpr_at_most_0.01,f1,42,0.026519745903829946,0.0256315375622024,0.0007878008436082253
01,transformer_L1,phase5_matched,fpr_at_most_0.01,f1,123,0.024741673870981022,0.0256315375622024,0.0007878008436082253
01,transformer_L1,phase5_matched,fpr_at_most_0.01,f1,456,0.026280614448168788,0.0256315375622024,0.0007878008436082253
01,transformer_L1,phase5_matched,fpr_at_most_0.01,f1,789,0.025675842488581655,0.0256315375622024,0.0007878008436082253
01,transformer_L1,phase5_matched,fpr_at_most_0.01,f1,1024,0.024939811099450582,0.0256315375622024,0.0007878008436082253
01,transformer_L64,phase5_matched,fpr_at_most_0.01,f1,42,0.028389804357217798,0.027147802739340043,0.0007659985906976999
01,transformer_L64,phase5_matched,fpr_at_most_0.01,f1,123,0.026964164419652964,0.027147802739340043,0.0007659985906976999
01,transformer_L64,phase5_matched,fpr_at_most_0.01,f1,456,0.026962499485448484,0.027147802739340043,0.0007659985906976999
01,transformer_L64,phase5_matched,fpr_at_most_0.01,f1,789,0.026289804986423106,0.027147802739340043,0.0007659985906976999
01,transformer_L64,phase5_matched,fpr_at_most_0.01,f1,1024,0.02713274044795784,0.027147802739340043,0.0007659985906976999
01,logistic_regression,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.008109299250771265,0.008109299250771265,0.0
01,logistic_regression,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.008109299250771265,0.008109299250771265,0.0
01,logistic_regression,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.008109299250771265,0.008109299250771265,0.0
01,logistic_regression,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.008109299250771265,0.008109299250771265,0.0
01,logistic_regression,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.008109299250771265,0.008109299250771265,0.0
01,random_forest,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.008461877479065667,0.008641371849833728,0.00016378986782462012
01,random_forest,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.008469890620617813,0.008641371849833728,0.00016378986782462012
01,random_forest,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.008758363716495052,0.008641371849833728,0.00016378986782462012
01,random_forest,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.008806442565807924,0.008641371849833728,0.00016378986782462012
01,random_forest,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.008710284867182179,0.008641371849833728,0.00016378986782462012
01,xgboost,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.00850995632837854,0.007692615890059697,0.0005460413598734781
01,xgboost,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.007484274209703915,0.007692615890059697,0.0005460413598734781
01,xgboost,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.00734805080331744,0.007692615890059697,0.0005460413598734781
01,xgboost,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.007965062702832645,0.007692615890059697,0.0005460413598734781
01,xgboost,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.007155735406065948,0.007692615890059697,0.0005460413598734781
01,mlp,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.007468247926599623,0.00731439560879843,0.00026597112443271385
01,mlp,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.007235866821587404,0.00731439560879843,0.00026597112443271385
01,mlp,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.007692615890059698,0.00731439560879843,0.00026597112443271385
01,mlp,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.00702752514123162,0.00731439560879843,0.00026597112443271385
01,mlp,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.007147722264513803,0.00731439560879843,0.00026597112443271385
01,transformer_L1,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.008333667214231339,0.008256741055330741,5.626343902092832e-05
01,transformer_L1,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.008197443807844866,0.008256741055330741,5.626343902092832e-05
01,transformer_L1,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.008269562081814175,0.008256741055330741,5.626343902092832e-05
01,transformer_L1,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.00820545694939701,0.008256741055330741,5.626343902092832e-05
01,transformer_L1,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.00827757522336632,0.008256741055330741,5.626343902092832e-05
01,transformer_L64,phase5_matched,fpr_at_most_0.01,false_positive_rate,42,0.007700629031611844,0.007817620898273168,0.00018269259818215974
01,transformer_L64,phase5_matched,fpr_at_most_0.01,false_positive_rate,123,0.007772747305581153,0.007817620898273168,0.00018269259818215974
01,transformer_L64,phase5_matched,fpr_at_most_0.01,false_positive_rate,456,0.00779678673023759,0.007817620898273168,0.00018269259818215974
01,transformer_L64,phase5_matched,fpr_at_most_0.01,false_positive_rate,789,0.008133338675427702,0.007817620898273168,0.00018269259818215974
01,transformer_L64,phase5_matched,fpr_at_most_0.01,false_positive_rate,1024,0.007684602748507552,0.007817620898273168,0.00018269259818215974
02,random_forest,full_dataset,fpr_at_most_0.01,Bot_recall,42,0.4496121285112111,0.3940044631787751,0.10237278249425014
02,random_forest,full_dataset,fpr_at_most_0.01,Bot_recall,123,0.2142963409018455,0.3940044631787751,0.10237278249425014
02,random_forest,full_dataset,fpr_at_most_0.01,Bot_recall,456,0.463564875491481,0.3940044631787751,0.10237278249425014
02,random_forest,full_dataset,fpr_at_most_0.01,Bot_recall,789,0.43146186815911586,0.3940044631787751,0.10237278249425014
02,random_forest,full_dataset,fpr_at_most_0.01,Bot_recall,1024,0.4110871028302221,0.3940044631787751,0.10237278249425014
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Bot_recall,42,0.000641139173249265,0.0006609755233608444,3.3753332859825315e-05
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Bot_recall,123,0.0007190676915447558,0.0006609755233608444,3.3753332859825315e-05
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Bot_recall,456,0.000641139173249265,0.0006609755233608444,3.3753332859825315e-05
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Bot_recall,789,0.0006623924055116716,0.0006609755233608444,3.3753332859825315e-05
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Bot_recall,1024,0.000641139173249265,0.0006609755233608444,3.3753332859825315e-05
02,rf_or_ae,full_dataset,component_1_percent,Bot_recall,42,0.45025326768446033,0.3946640218199851,0.10233987937122421
02,rf_or_ae,full_dataset,component_1_percent,Bot_recall,123,0.21501540859339024,0.3946640218199851,0.10233987937122421
02,rf_or_ae,full_dataset,component_1_percent,Bot_recall,456,0.46420601466473027,0.3946640218199851,0.10233987937122421
02,rf_or_ae,full_dataset,component_1_percent,Bot_recall,789,0.4321171761538734,0.3946640218199851,0.10233987937122421
02,rf_or_ae,full_dataset,component_1_percent,Bot_recall,1024,0.41172824200347136,0.3946640218199851,0.10233987937122421
02,random_forest,full_dataset,fpr_at_most_0.01,Infilteration_recall,42,0.01847592433361995,0.019325021496130697,0.005072540303130255
02,random_forest,full_dataset,fpr_at_most_0.01,Infilteration_recall,123,0.028278159931212382,0.019325021496130697,0.005072540303130255
02,random_forest,full_dataset,fpr_at_most_0.01,Infilteration_recall,456,0.01633705932932072,0.019325021496130697,0.005072540303130255
02,random_forest,full_dataset,fpr_at_most_0.01,Infilteration_recall,789,0.016885210662080825,0.019325021496130697,0.005072540303130255
02,random_forest,full_dataset,fpr_at_most_0.01,Infilteration_recall,1024,0.016648753224419603,0.019325021496130697,0.005072540303130255
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Infilteration_recall,42,0.030062338779019777,0.031605760963026655,0.003929535906767374
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Infilteration_recall,123,0.026289767841788478,0.031605760963026655,0.003929535906767374
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Infilteration_recall,456,0.03540412725709372,0.031605760963026655,0.003929535906767374
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Infilteration_recall,789,0.03068572656921754,0.031605760963026655,0.003929535906767374
02,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,Infilteration_recall,1024,0.03558684436801376,0.031605760963026655,0.003929535906767374
02,rf_or_ae,full_dataset,component_1_percent,Infilteration_recall,42,0.04677558039552881,0.04779234737747205,0.0017459668942563956
